statement,cluster,tsne_1,tsne_2,cluster_size,cluster_keywords,cluster_coherence
Social media-based personalization threatens users' identity and increases privacy concerns.,4,34.638496,12.654402,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
"The AI interventions increase transitions between key components of the visualization, such as datapoints, labels, and legend, improving comprehension.",0,-15.010523,-2.4957228,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
AI attention management systems reduce subjective workload while increasing task-switching frequency and difficulty.,2,10.855419,37.023434,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
"AI-driven recommendation quality, privacy, transparency, fairness, and trustworthiness are crucial for user satisfaction and system trust.",1,17.156174,-16.454853,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
LLM-generated responses with citations enhance trust in AI-CDSS among healthcare providers.,1,1.2936553,-24.98327,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
"Using Marco, users complete sensemaking tasks 16% more quickly without compromising accuracy.",5,-11.337352,0.4840134,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
"Users lack adequate information to assess machine translation quality, leading to potential misunderstandings.",3,47.721302,17.972734,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Interactive Machine Teaching systems enhance user experience by integrating human interaction deeply into AI model training.,0,-2.0252008,3.355046,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Human-AI symbiosis improves task performance by combining AI's power with human expertise.,2,-4.8169575,6.173586,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
AI communication direction affects perceived intelligence and game outcomes.,2,19.829681,23.731253,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
Users prefer AI bots to learn through demonstration methods over sorting and categorizing.,4,6.921126,7.315322,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
EvalLM enables examination of twice as many outputs compared to manual evaluation.,6,-32.37825,-28.55261,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
"AI heuristics successfully identify issues related to dialogue content, interaction design, and data privacy.",0,-4.8938255,-5.0729194,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"Developers hesitate to grant full autonomy to AI models, contrasting with previous studies' findings.",3,33.618378,-9.419192,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Agreement among non-expert crowd workers further improves precision by 8% and recall by almost 5% beyond pure ML performance.,6,0.3990041,-40.53431,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
"AutoChemplete supports multiple annotation styles, enhancing user engagement and providing skill-appropriate assistance.",5,-33.6438,-4.1285396,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
AI decision support systems with interactive forward reasoning improve management of output uncertainty.,0,1.4541869,-2.566288,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"AI-generated responses are preferred by young people for topics related to relationships, self-expression, and physical health.",4,3.5710397,19.19392,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
Computational tools enhance science journalists' user agency by providing contextual and collaborative notions of newsworthiness.,5,-32.44244,-11.764501,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
Functionality issues in algorithmic systems lead to inconsistent and unreliable decisions at the street level.,3,47.198395,-8.07379,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
"Participants perceive Generative AI as efficient tools, not true collaborators, indicating human partners reduce reliance on AI.",2,20.175886,19.028252,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
AI in HRM faces tensions due to divergent perspectives on fairness among stakeholders.,3,38.474304,-1.0258584,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
"AI explanations reduce overreliance when the costs of engaging with them are less than the benefits, as shown in maze task experiments.",2,20.480848,0.80292875,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
High spatial awareness enhances team mental model similarity in human-agent teams.,2,15.789587,27.76322,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
WaitGPT increases user confidence in LLM-generated analysis by enabling real-time monitoring and control.,5,-37.40816,-25.399097,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
"SAM enhances conversation response relevance, achieving 0.5% R10@1 improvement on the Douban Conversation Corpus.",6,-30.334797,-34.569393,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
AI suggestions lead to less active writing but maintain a sense of authorship.,2,-2.3077376,37.92848,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
There were no differences in game outcomes such as win rate and turns to completion between human and AI partners.,2,27.407663,26.486774,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
"AINeedsPlanner workbook improves specification clarity in AI application development, reducing misalignment and rework costs.",0,-11.435988,-5.244562,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Users in 83% of scenarios preferred natural language explanations over simple activity labels.,4,11.247822,-4.22288,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
Honesty-like integrity explanations enhance the buildup and recovery of subjective trust in AI agents.,1,18.585094,-11.265894,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
Coaches interacting with AI models show increased trust and acceptance in predictions.,1,22.808584,-16.589756,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
AI and human responses together provide richer responses for emergent users.,2,-9.90908,7.837609,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
Batch labeling systems reduce labeling time by applying a single action to multiple records.,5,-6.931359,-40.578037,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
AI feedback visualizations help students improve collaboration skills and develop AI literacy.,0,-15.878974,-0.05782624,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"Users express concerns about integrating social features into AI conversational agents, affecting their sense of relatedness.",3,32.195137,15.656578,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
HINT supports practitioners in evaluating human-AI interaction experiences before deployment.,0,-7.986909,1.3068845,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
AI algorithm traceability affects user trust and satisfaction with explanations.,1,15.310236,-9.519768,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
IR-GAN uses a reasoning discriminator to ensure logical consistency in generated images.,6,-48.60225,-7.4895496,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
"HCI with AI-CDSS varies based on clinical expertise, influencing interaction dynamics.",2,5.1810236,-32.49896,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
A real-time procedure reduces anchoring bias and increases agreement to ground-truth by 7% in decision-making.,6,31.178001,-22.370558,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
Time2Stop's adaptive models improve intervention accuracy by over 32.8% and receptivity by over 8.0% compared to baseline methods.,6,4.429573,-8.641966,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
UX designers frequently work with pre-trained models but lack support for UX-led ideation.,7,-21.055996,-8.806416,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
Interactive LLM-powered devil’s advocates are perceived as more collaborative and of higher quality without increasing perceived workload.,4,26.661982,-22.576254,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
AI-based decision systems significantly influence fairness perceptions based on group favoritism rather than unbiased treatment.,3,40.871777,-4.9522595,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
UI levels of initiative and control affect perceived authorship in AI-assisted text writing.,2,-0.13532123,36.567776,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
Participants did not improve classifier training or outcome prediction by relying solely on uncertainty measures.,6,34.73314,-15.361996,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
Reinforcement learning-based attention management systems improve human performance by optimizing task-switching policies.,6,10.732546,37.04119,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
AI explanations enhance perceived understandability and transparency in user-adaptive in-vehicle features.,1,9.899109,0.23736723,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
"Beginners struggle with writing and editing prompts using AI language models, even for problems at their skill level.",7,-23.269747,23.008787,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
Conversational AI increases performance for novice software engineers on 'solve'-type questions.,0,-8.971196,15.697095,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"User overreliance on AI is a key predictor of behavior, affecting the choice and use of different AI assistance types.",3,26.117907,8.222402,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
The availability of aggregate-level model performance data alters the impact of human-model agreement on reliance.,6,25.178867,-17.460484,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
Expectations of legal damages are influenced by perceived moral wrongness and the presence of victims.,4,51.903717,13.708103,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
Pilots prefer AI decision support tools that provide directability and continuous support rather than focusing solely on trust calibration.,3,11.870484,4.8835664,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Choice in personalization approaches enhances trust by increasing user agency and lowering privacy concerns.,4,33.735394,11.782106,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
Safety engineering frameworks identify social and ethical risks in text-to-image models by analyzing model interactions and processes.,6,-24.165083,-14.621205,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
Human oversight is crucial in AI-assisted tasks involving complex problem-solving and security considerations.,3,19.144047,-24.729841,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
AI-generated music models enhance creative exploration by allowing musicians to integrate diverse genres.,7,-40.5521,14.178236,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
Simulated human input boosts the AI model's performance in recognizing procedural steps.,0,-4.6340585,3.5721333,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"AI explanations of stress levels assist in recalling past stress patterns, aiding in coping strategies.",0,-14.76089,10.380464,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Thought Bubbles demonstrate that information availability influences decision-making.,4,19.919634,14.644566,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
AI explanations reduce trust when justifying deceitful actions by the AI.,3,16.988348,-11.949252,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
AI explanations enhance trust calibration in machine teaching by providing insights into the model's reasoning.,1,12.213071,-13.158449,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
AI-assisted systems like Florum facilitate learning by integrating automation after human effort.,0,-11.658405,3.7922692,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
AI assistants weaken social connections within teams but strengthen them across teams.,2,24.107439,17.685295,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
"Designing polyadic conversational agents with social boundaries, such as privacy and disclosure, is crucial for ethical interactions.",4,3.5961685,23.004538,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
Process control through selecting training algorithms reduces algorithm aversion.,6,46.69356,-20.041811,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
Algorithmic systems adversely impact fairness in decision-making processes at child welfare agencies.,3,47.300434,-6.826362,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Fictional feature importance plots in computational notebooks highlight specific care needs in diabetes management.,6,-5.3275747,-35.15772,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
"Wander creates real-time interactive maps with text, images, and global coordinates based on real-world locations.",5,-54.351917,13.562956,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
Learning Engagement mechanisms improve users' positive perceptions of the robot.,4,-3.8046,28.116291,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
Professional writers using Luminate reported increased inspiration and idea generation during creative tasks.,5,-38.400528,-3.6536949,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
Object saliency maps enable users to visualize and understand the internal states of Deep Reinforcement Learning Networks.,6,2.8805096,14.1825285,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
"AI systems should integrate with diverse rationalities, including cultural and faith-based practices, to better align with user behaviors in the Global South.",2,12.221522,-28.571444,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
"Users' autonomy is impacted by the flexibility of the AI conversation, personalization of experiences, and control over user data.",3,32.24525,12.878568,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Automation in security patch management reduces delays in installing security patches.,5,-12.328815,-13.691503,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
AI authority influences human actions by legitimizing AI decisions without requiring evidence of system capabilities.,3,20.847635,4.360274,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
"AI processing delays enabled users to reflect on multiple research questions, increasing the quantity generated and enhancing user control.",0,-12.094808,6.4937387,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"The AI system improves symptom-disease relationship identification through a knowledge-routed graph, optimizing topic transitions in conversations.",0,-12.800182,-23.706963,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"The AI-embedded smartwatch agent, VOT, required adaptation to user behaviors, highlighting the need for AI to discern between expected collaboration and user-driven autonomy.",2,11.306487,27.174107,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
Type of medical content displayed significantly affects decision time.,4,21.719955,12.325128,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
"HearHere quantifies users' political status, aiding in the reduction of political polarization.",4,21.072634,-42.945686,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
The debiased AI recommender provides fairer career recommendations without losing prediction accuracy.,6,24.857454,-32.800697,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
AI-driven Promptiverse increases prompt diversity by 40 times compared to manual methods.,7,-24.670527,15.46387,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
"LLM prompts enable achieving 80% of UX goals but struggle with the remaining 20%, leading to interaction breakdowns.",4,-18.030796,23.87364,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
"Healthcare providers desire AI to support a co-dependent collaboration, improving clinical practice through human-AI enrichment.",0,2.821418,-28.425259,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
PANDALens improves writing quality and travel enjoyment by transforming multimodal information into coherent narratives.,5,-36.616158,-19.972628,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
AI explanations foster trust when clarifying non-compliance with human commands.,1,15.979092,-11.604659,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
ExpressEdit enables more efficient video editing by interpreting and implementing multimodal edit commands.,5,-48.720177,0.78802717,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
AI explanations during or after autonomous rides improve user experience from negative to neutral by enhancing the feeling of control.,1,9.380683,1.179998,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
AI-powered reminders enhance asynchronous collaboration by efficiently integrating into knowledge workers' workflows.,0,-13.924597,16.854877,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Changing input factors does not mitigate algorithm aversion.,3,47.237125,-18.95807,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Personalizing AI communication assertiveness based on clinician experience reduces medical errors.,0,7.722613,-29.192453,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
AI-generated concise and executable code is often deemed readable by both Code Readability models and developers.,0,-9.656599,-19.739265,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Generative AI systems enhance music-based reminiscence by generating conversations and images for older adults.,7,-36.43313,11.8345785,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
Interactive AI explanations improve perceived usefulness and performance of human+AI teams.,1,8.514814,-4.7282124,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
GP-TSM enhances reading efficiency by enabling participants to answer GRE questions more efficiently.,5,-28.321182,39.6898,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
The proposed PDE technique achieves real-time operation by combining nine-axis IMU and RGB-D sensor data.,5,-41.05817,31.682287,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
Novel rule-based interfaces improve constraint quality and user efficiency by allowing non-experts to craft rules without programming.,5,-3.4000099,-7.9052076,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
"Controllability in AR games allows users to manage uncertainties, improving overall gameplay satisfaction.",4,6.685184,0.9201904,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
Providing both labeler and AI selected labels reduces inappropriate reliance on automation.,3,-5.3794484,-42.52019,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Conversational AI requires UX designers to engage in gap-filling work across role boundaries.,2,-19.303062,-8.518075,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
AI transparency in AR games enhances user experience by providing clear system explanations.,1,7.6271987,-1.0311165,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
AI assertive communication increases clinician satisfaction in breast cancer diagnosis.,0,7.7150702,-29.065866,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Automatically generated knowledge bases can be informed by collaborative actions and knowledge actions in workplace settings.,5,-12.500217,17.532526,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
Safety drivers mitigate risks from defective AI algorithms during AV testing.,3,21.584791,-24.12664,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Sensecape enables users to explore more topics by externalizing levels of abstraction.,5,-49.279465,-18.119581,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
AI as a teammate in interactive paradigms maximizes job meaningfulness.,2,-2.2303393,9.363789,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
RoomDreaming enables designers to achieve results in one hour comparable to several days of traditional meetings.,5,-52.15446,5.1991825,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
AI-enhanced pervasive sensing platforms create breakdowns in patient journeys by focusing on either consumers or physicians.,3,46.29882,-13.625799,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
AI chatbots enhance user interaction by providing efficient and scalable technological support.,0,-10.891857,10.731013,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Clinical Decision Support Systems (CDSSs) enhance ICU care by facilitating collaboration among healthcare professionals.,5,3.0759873,-33.522408,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
The proposed algorithm reduces decision inaccuracies in college admissions by increasing agreement to ground-truth by 2%.,6,2.1021159,-40.818077,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
Libpubl ensures atomic updates of data by using persistent user buffers as logs.,5,-31.976744,-41.78865,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
Domain knowledge and context significantly influenced trust-related decision-making with the AI app.,3,29.913929,-10.281854,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Non-power users prefer AI systems that are both help-seekers and help-providers.,2,12.199297,7.8713346,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
"The AI-based system, HearHere, effectively supports diverse news consumption by providing political stance information through visualizations.",0,21.042095,-42.95887,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Explicit AI-generated Takeover Requests enhance driver comfort by clearly indicating conflict situations.,0,9.82737,2.466335,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
AI explanations enhance the effectiveness of conditional delegation in content moderation tasks.,0,4.685416,-14.855915,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
FitVid significantly enhances readability and user satisfaction by adapting video content for mobile devices.,5,-18.536062,39.158337,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
AI transparency is essential for understanding its decision-making process in HRM.,1,37.452305,1.4596797,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
AI annotation tool Grannotate enables efficient creation of high-quality scaffolding prompts.,7,-35.022404,-5.9621773,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
Time between AI recommendation and clinical assessment is significantly longer for incorrect assessments.,3,29.865948,3.8456836,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Personalized AI-generated flashcards received significantly lower quality ratings from learners compared to non-personalized versions.,3,33.256054,27.146637,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Unlabeled participants preferred correct AI answers to incorrect human answers.,2,29.483015,26.386978,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
Interactive machine learning enhances rehabilitation assessment by improving prediction accuracy for upper-limb exercises from 0.8279 to 0.9116 average F1-scores.,6,-3.101768,-19.687586,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
Failures in AI within ARMath provide learning opportunities for children.,0,-34.950157,34.498737,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
The human-evolution collaboration discovers optimal strategies faster than purely human or purely evolved methods.,2,-3.3221645,6.706452,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
AI as play expands current notions of human-AI interaction beyond productivity-based models.,2,-7.2152963,10.591173,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
Interactive experimentation with ML enables UX practitioners to align ML capabilities with user goals.,5,-23.181704,-12.287613,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
AI interfaces increase text length and influence wording.,0,-2.6455963,35.396206,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"Part-based XAI explanations, resembling human reasoning, are favored by end-users.",1,12.444631,-5.570101,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
Human-like AI explanations enhance trust in high-accuracy models.,1,16.084957,-8.081865,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
"AI assistants affect users' feelings of ownership over ideas, highlighting the need for careful design.",2,9.063144,22.957321,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
HINT framework captures distinct user behavior patterns across various AI performance modalities using AI-based feature prototypes.,0,-7.8946137,1.2397763,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Clinicians in rural China view AI-CDSS as promising for future Human-AI collaboration in healthcare.,0,1.406165,-29.880974,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
RoomDreaming increases design exploration breadth and depth with higher owner satisfaction.,5,-52.13993,5.214515,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
Conceptual similarity in AI responses is more associated with transformational creativity.,7,-33.944386,0.7667858,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
AI explanations influence how human decision makers understand and utilize AI decision aids.,2,21.303087,5.004402,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
"FitVid's AI features notably improve the learning experience, interactivity, and concentration for mobile learners.",0,-18.57588,38.65984,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
GenAI systems enhance professional workflows by enabling new forms of human–AI co-creation.,7,-38.197384,8.122169,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
The position of bias influences attitude changes in users with lower openness to conflicting opinions.,4,29.71678,-38.805653,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
AI creativity triggers enhance idea appropriateness by aligning them with specific problems.,0,-22.477116,6.3574204,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
GPT models exhibit high levels of human-like reasoning but struggle with interpreting cultural contexts.,6,-19.401592,27.161537,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
Teachable AI systems allow users with disabilities to personalize applications by balancing example effort with personalization benefits.,0,-31.498085,27.397024,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Refined AI threat analysis questions enable comprehensive manual evaluations of diverse AI/ML applications.,0,19.524118,-27.004536,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Perceived training data credibility enhances user trust in AI systems.,1,20.592415,-16.909266,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
"Users attribute more ownership to human ghostwriters than AI ghostwriters, highlighting an ownership-authorship discrepancy.",3,-0.19957738,38.1913,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Generative machine learning models for dance should celebrate non-human artefacts to enhance creative practice.,7,-37.68785,15.953053,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
AI-augmented subtitling processes are perceived as more demanding by users.,4,-8.087984,45.758163,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
The Trust between People and Automation scale (TPA) achieves acceptable quality with a two-factor model after removing two items.,4,35.63826,-22.5469,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
Analytic cognitive style correlates with a preference for belief explanations in AI systems.,1,41.513084,25.535751,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
