,title,year,doi,abstract
36,Learning Action Conditions for Automatic Behavior Tree Generation from Human Demonstrations,2024,10.1145/3610978.3640673,"The multitude of possible tasks and user preferences in real-world human-robot interaction scenarios renders pure pre-programming of robotic tasks inadequate. Recently, Behavior Trees (BTs) gained more focus as a modular internal task representation and particularly learning BTs directly from human video demonstrations offers also non-programming experts an opportunity to conveniently teach robots. However, automatically building BTs from human task demonstrations requires task constraints in form of action conditions. While existing work on automated BT generation often relies on pre-defined relevant features and heuristic condition computation, here we propose and evaluate different methods to automatically extract action pre- and post-conditions for BT generation from videos of human demonstrations. In particular, we first reduce the feature space using a correlation-based feature pre-selection, as well as a rule-based pre-selection based on a Decision Tree. Then, we select features that are relevant pre- and post-conditions for particular actions based on three different variance-based methods. We compare the different methods for feature selection and condition extraction on two pick-and-place tasks and discuss advantages and shortcomings of all methods in the context of learning BTs from human demonstrations."
37,(X)AI-SPOT: an (X)AI-Supported Production Process Optimization Tool,2024,10.1145/3640544.3645235,"We demonstrate (X)AI-SPOT - (X)AI-Supported Process Optimization Tool - that aims to encourage, facilitate, and enhance AI usage for process engineering and optimization in the production industry. Furthermore, (X)AI-SPOT seeks not to become a one-size-fits-all approach but a framework where each user archetype (Shop Floor Worker, Field Expert, and AI Expert) can receive tailored XAI functionality suited to their unique requirements. Currently, (X)AI-SPOT handles the Shop Floor Worker user archetype, with initial support for the Field Expert. We also describe our tool’s architecture w.r.t. extendibility and support of different user archetypes; we share our findings from an expert user interview and conclude with a discussion of design decisions and future work. Our application is available at http://exait.know-center.at/mv-ui."
38,Designing AI with Metaphors: Leveraging Ambiguity and Defamiliarization to Support Design Creativity,2024,10.1145/3635636.3664250,"Existing literature on designing AI technologies focuses on personifying the AI system using metaphors like ""collaborator"" or ""teammate."" However, these personifying metaphors may have problematic consequences and do not reflect the full breadth of the design space for human-AI interaction. We report the design process of, and initial results from, a participatory speculative design workshop that supports participants in designing AI systems using novel, non-human metaphors. We articulate two current design recommendations for interaction or workshop designers interested in AI and metaphors: Defamiliarization of AI may support creative interpretation of ambiguous metaphors and Explicit metaphorical thinking may scaffold participants’ use of ambiguity as a resource. We also discuss two potential results suggested by our initial data collection: Ambiguous metaphorical thinking may support groups negotiating values and The term AI may limit attempts at defamiliarization."
39,My Voice as a Daily Reminder: Self-Voice Alarm for Daily Goal Achievement,2024,10.1145/3613904.3641932,"Sticking to daily plans is essential for achieving life goals but challenging in reality. This study presents a self-voice alarm as a novel daily goal reminder. Based on the strong literature on the psychological effects of self-voice, we developed a voice alarm system that reminds users of daily tasks to support their consistent task completion. Over the course of 14 days, participants (N = 63) were asked to complete daily vocabulary tasks when reminded by an alarm (i.e., self-voice vs. other-voice vs. beep sound alarm). The self-voice alarm elicited higher alertness and uncomfortable feelings while fostering more days of task completion and repetition compared to the beep sound alarm. Both self-voice and other-voice alarms increased users’ perceived usefulness of the alarm system. Leveraging both quantitative and qualitative approaches, we provide a practical guideline for designing voice alarm systems that will foster users’ behavioral changes to achieve daily goals."
40,An Evaluation of Situational Autonomy for Human-AI Collaboration in a Shared Workspace Setting,2024,10.1145/3613904.3642564,"Designing interactions for human-AI teams (HATs) can be challenging due to an AI agent’s potential autonomy. Previous work suggests that higher autonomy does not always improve team performance, and situation-dependent autonomy adaptation might be beneficial. However, there is a lack of systematic empirical evaluations of such autonomy adaptation in human-AI interaction. Therefore, we propose a cooperative task in a simulated shared workspace to investigate effects of fixed levels of AI autonomy and situation-dependent autonomy adaptation on team performance and user satisfaction. We derive adaptation rules for AI autonomy from previous work and a pilot study. We implement these rule for our main experiment and find that team performance was best when humans collaborated with an agent adjusting its autonomy based on the situation. Additionally, users rated this agent highest in terms of perceived intelligence. From these results, we discuss the influence of varying autonomy degrees on HATs in shared workspaces."
41,Create Effective and Responsible AI User Experiences with The Human-AI Experience (HAX) Toolkit,2023,10.1145/3544549.3574191,"The HAX Toolkit (https://aka.ms/haxtoolkit) is a set of collaborative tools that helps teams working on user-facing AI plan, create, and evaluate human-AI user experiences. This course will help AI practitioners, human-AI interaction researchers, teachers, and students learn how to use the HAX Toolkit themselves and how to introduce it to others. The Toolkit is grounded in a set of Guidelines for Human-AI Interaction [1] that prescribe how AI systems should behave when interacting with people. Course attendees will explore the nuances of each guideline and learn how to use the AI patterns and examples in the HAX Design Library to apply the Guidelines. Course attendees will also learn how to guide cross-disciplinary teams in planning user-facing AI systems by using the HAX Workbook. For NLP systems, course attendees will learn to use the HAX Playbook [2] to anticipate and design for failures. The HAX Toolkit is a set of collaborative tools that helps teams working on user-facing AI plan, create, and evaluate human-AI user experiences. This course will help AI practitioners, human-AI interaction researchers, teachers, and students learn how to use the HAX Toolkit themselves and how to introduce it to others. Course attendees will learn the nuances of the Guidelines for Human-AI Interaction, how to lead cross-disciplinary teams in planning human-AI interaction using the HAX Workbook, and how to use the HAX Workbook to plan for failures of NLP systems."
42,Evaluation Tools for Human-AI Interactions Involving Older Adults with Mild Cognitive Impairments,2024,10.1145/3610977.3637474,"As artificial intelligence (AI) systems have already proven useful in human lives generally, there is an opportunity for specialized human-AI interaction (HAI) systems to support and provide care for older adults with mild cognitive impairment (MCI). However, the integration of this technology in this population must be thoughtfully designed to accommodate specific needs and limitations. This includes careful measurement of both humans and systems. We developed an evolving dataset categorizing relevant measurement tools into five groups: cognitive ability, demographics & personality, activity level, state of mind, and perceptions of the AI system. Each instance of the tool being used in the literature cataloged in the dataset is qualified in terms of how likely we would recommend using it in the domain of HAI for older adults with MCI based on contextual factors and internal reliability measures. This dataset will serve as a valuable resource for future research, aiding in the identification of promising areas and trends in AI systems for older adults with MCI as well as providing essential tools for future studies.CCS CONCEPTS• Computer systems organization → Robotics; • Human-centered computing → HCI design and evaluation methods."
43,Understanding the Dynamics in Creating Domain-Specific AI Design Guidelines: A Case Study of a Leading Digital Finance Company in South Korea,2024,10.1145/3613905.3650759,"Artificial intelligence (AI) significantly impacts the user experience (UX) across a wide range of products and services. However, many practitioners find it challenging to design the UX for AI-enhanced products. Although there are human-AI interaction design guidelines available, they are often too generic to fully address domain-specific challenges in fields such as finance and healthcare. Additionally, they sometimes overlook the constraints imposed by different working environments. In this research, we conducted a case study at one of the leading financial corporations in South Korea to develop their own AI product interaction guidelines. We interviewed 13 practitioners including bank UX practitioners, design agency UX designers, and academic UX researchers who were involved in this initiative, to gather insights into their experiences with crafting these guidelines. Our findings revealed a mixed reception towards existing AI design resources among practitioners, underscoring the necessity to incorporate elements specific to banking services, such as the company’s customer experience (CX) principles, overarching agent personas, multifaceted channels, and diverse interaction modalities. We also observed the importance of understanding the dynamics among various stakeholders within a company. We discuss the implications and design considerations for creating domain-specific resources specialized in AI interactions."
44,The Metacognitive Demands and Opportunities of Generative AI,2023,10.1145/3613904.3642902,"Generative AI (GenAI) systems offer unprecedented opportunities for transforming professional and personal work, yet present challenges around prompting, evaluating and relying on outputs, and optimizing workflows. We argue that metacognition—the psychological ability to monitor and control one’s thoughts and behavior—offers a valuable lens to understand and design for these usability challenges. Drawing on research in psychology and cognitive science, and recent GenAI user studies, we illustrate how GenAI systems impose metacognitive demands on users, requiring a high degree of metacognitive monitoring and control. We propose these demands could be addressed by integrating metacognitive support strategies into GenAI systems, and by designing GenAI systems to reduce their metacognitive demand by targeting explainability and customizability. Metacognition offers a coherent framework for understanding the usability challenges posed by GenAI, and provides novel research and design directions to advance human-AI interaction."
45,Intelligent User Interface for Decision Support in Drug Development,2023,10.1145/3581754.3584107,"Drug development is a complicated, costly, and lengthy process spanning multiple stages, which each may take multiple years. Only a few drugs reach or pass the clinical trial stage because high failure rates are common in the pharmaceutical industry. This work has been carried out in an applied research setting. Funded by industry, the work has strong requirements to develop working prototypes alongside scientists from the industry that guided the process. The goal of this project is to investigate support tools with computer intelligence methods that enable to shorten the amount of time needed during the pre-clinical stages of drug development and to reduce the associated experiment costs. As the result, three prototypes are developed addressing diverse requirements that arise at different stages of drug development in different units of an organization. To this end, three promising sub-problems were identified in a combined effort with industry experts: Drug formulation, Solvent selection, and Bio pharmaceutical literature research. For each task an interactive tool is proposed which includes novel intelligent visualizations designed to directly or indirectly reduce the amount of time invested in the associated tasks. Each tool has been developed in close cooperation with industry experts over the last three years. The connection between these prototypes is the interactive presentation of information derived from a computer-based intelligent process The next steps of the Ph.D. project are to assess the usability and effectiveness of each tool."
46,1-Hour Collaborative Learning Activity for Responsible Human-AI Design,2023,10.1145/3519936,"While relatively simple, the applied nature of this activity yields rich discussions about ambiguities and challenges surrounding the design of Human-AI systems in a relatively short amount of time (a single class period). Extensions of this assignment can be used applied to emphasize corporate responsibility and industry design incentives (see Recommendations )."
47,Intelligence as Agency,2024,10.1145/3672539.3695751,
48,Capturing Humans’ Mental Models of AI: An Item Response Theory Approach,2023,10.1145/3593013.3594111,"Improving our understanding of how humans perceive AI teammates is an important foundation for our general understanding of human-AI teams. Extending relevant work from cognitive science, we propose a framework based on item response theory for modeling these perceptions. We apply this framework to real-world experiments, in which each participant works alongside another person or an AI agent in a question-answering setting, repeatedly assessing their teammate’s performance. Using this experimental data, we demonstrate the use of our framework for testing research questions about people’s perceptions of both AI agents and other people. We contrast mental models of AI teammates with those of human teammates as we characterize the dimensionality of these mental models, their development over time, and the influence of the participants’ own self-perception. Our results indicate that people expect AI agents’ performance to be significantly better on average than the performance of other humans, with less variation across different types of problems. We conclude with a discussion of the implications of these findings for human-AI interaction."
49,"Understanding Students’ Perspectives, Practices, and Challenges of Designing with AI in Special Schools",2023,10.1145/3629606.3629625,"As generative artificial intelligence (GenAI) develops rapidly, equipping students with basic knowledge of GenAI at the secondary school level is beneficial. However, few subjects in special schools cover AI-related topics, and it remains unclear how students with special educational needs (SEN) perceive, learn, and use AI. In this study, we documented the Artificial Intelligence Generated Content (AIGC) learning experience of seven students from two special schools who participated in a series of game design workshops. We analysed their learning process, usage, and perspectives of text-to-image GenAI through video analysis, questionnaire, and evaluation of design outputs. Our findings reveal the students' willingness to learn and utilise AI technology. This AI experience allows students, especially those who struggle with fine motor skills, to translate their ideas into digital images. Moreover, the text-to-image interaction enhances students' ability to convey their ideas in writing and develop their skills in conceptualisation. We also summarised significant human-AI interaction challenges, including difficulties with typing, Chinese and English spelling, and prompt writing. We conclude with recommendations for designing future inclusive human-AI interaction experiences for students with SEN in China."
